domain,source_presence,first_seen_query,country_relevance,visa_service_relevance_score,business_fit,risk_flags,recommended_dtype,crawl_action,rationale
1000perevodov.by,top10,перевод справки из банка на английский,BY,70,supporting,,niche_agency,enqueue,Translation/Legal services for visa documents
100viz.by,top10,виза в польшу через брестскую юрисдикцию цена,BY,50,supporting,,niche_agency,enqueue,General business/info site to be reviewed
1prof.by,top10,шенген для белорусов 2026 цена,BY,50,supporting,,niche_agency,enqueue,General business/info site to be reviewed
24gp.by,top10,психотесты и медкомиссия для работы водителем в ес,BY,50,supporting,,niche_agency,enqueue,General business/info site to be reviewed
24visa.by,top10,срок действия справки о несудимости для визы,BY,90,core,,niche_agency,enqueue,Niche agency focused on visas
2spain.ru,top10,апелляция на отказ в визе испания,unknown,50,supporting,geo_mismatch,niche_agency,review,General business/info site to be reviewed
321.by,both,агентство визовой поддержки беларусь,BY,50,supporting,,niche_agency,enqueue,General business/info site to be reviewed
34travel.me,top10,автоматическая запись на визу в германию,BY,60,supporting,,news,review,Travel media with high-quality visa guides
abcspain.ru,top10,сопровождение на внж испании,unknown,50,supporting,geo_mismatch,niche_agency,review,General business/info site to be reviewed
academgo.com,both,учебная виза в польшу для студентов,unknown,50,supporting,,niche_agency,enqueue,General business/info site to be reviewed
academtrans.by,top10,код 95 польша обучение для белорусов 2026,BY,50,supporting,,niche_agency,enqueue,General business/info site to be reviewed
adukar.com,top10,апостиль министерство образования электронная очередь,unknown,50,supporting,,niche_agency,enqueue,General business/info site to be reviewed
aif.by,top10,самые лояльные страны шенгена для белорусов 2026,BY,40,supporting,,news,review,Media/Forum - might contain outdated info or noise
aima.gov.pt,top10,требования к доходу для внж португалия 2026,EU,100,core,,government,enqueue,Official government/consulate source
ais.usvisa-info.com,top10,виза в сша для белорусов через ереван 2026,unknown,90,core,,niche_agency,enqueue,Niche agency focused on visas
akademtrans.by,top10,свидетельство водителя международника для визы,BY,50,supporting,,niche_agency,enqueue,General business/info site to be reviewed
aksis.pl,top10,минимальная зарплата в польше для внж 4806 злотых,EU,50,supporting,,niche_agency,enqueue,General business/info site to be reviewed
alegria-realestate.com,top10,регистрация в системе соцстраха испании для номада,unknown,50,supporting,,niche_agency,enqueue,General business/info site to be reviewed
alfa-bank.by,top10,выписка со счета в евро для визы,BY,50,supporting,,insurance,review,Financial institution for guarantees
alfabank.by,both,подтверждение финансовых гарантий шенген,BY,50,supporting,,insurance,review,Financial institution for guarantees
alfavisa.ru,top10,повторная подача после отказа в шенгене правила,unknown,90,core,geo_mismatch,niche_agency,review,Niche agency focused on visas
allford.by,top10,справка об отсутствии судимости сроки,BY,50,supporting,,niche_agency,enqueue,General business/info site to be reviewed
allpoland-docs.com,top10,санкции за невыход на работу в польше 2 года,unknown,50,supporting,,niche_agency,enqueue,General business/info site to be reviewed
alltour.by,top10,автоматизированный поиск свободных дат 24/7,BY,70,core,,niche_agency,enqueue,Travel agency often providing visa services
allvisa.by,top10,виза в сша для белорусов через ереван 2026,BY,90,core,,niche_agency,enqueue,Niche agency focused on visas
am.usembassy.gov,top10,виза в сша для белорусов через ереван 2026,unknown,100,core,,government,enqueue,Official government/consulate source
ambminsk.esteri.it,top10,записаться в визовый центр минск,EU,100,core,,consulate,enqueue,Italian Embassy in Minsk
ananastour.by,both,услуги ловли дат виза минск,BY,70,core,,niche_agency,enqueue,Travel agency often providing visa services
anyplacevisa.by,top10,виза в италию для белорусов статистика выдачи,BY,90,core,,niche_agency,enqueue,Niche agency focused on visas
apd.world,top10,черный список СИС шенген как проверить,unknown,50,supporting,,niche_agency,enqueue,General business/info site to be reviewed
apostille-pro.by,top10,запись на апостиль мид через пл. победы,BY,50,supporting,,niche_agency,enqueue,General business/info site to be reviewed
apostille.pro,top10,услуги по проставлению апостиля минск под ключ цена,unknown,50,supporting,,niche_agency,enqueue,General business/info site to be reviewed
apv.by,both,как поймать слот в визовый центр германии,BY,50,supporting,,niche_agency,enqueue,General business/info site to be reviewed
